source,relation,target
Normal electrocardiogram,is-a,Electrocardiogram
Abnormal electrocardiogram,is-a,Electrocardiogram
Borderline electrocardiogram,is-a,Electrocardiogram
Normal electrocardiogram except for rate,is-a,Electrocardiogram
Low heart rate,is-a,Heart rate
High heart rate,is-a,Heart rate
Poor data quality,is-a,Difficulty interpreting
Cannot adequately assess,is-a,Poor data quality
Artifact,is-a,Poor data quality
Lead misplacement,is-a,Lead unsuitable for analysis
Lead unsuitable for analysis,is-a,Lead not used for morphology analysis
Lead reversal,is-a,Lead misplacement
Lead reversal,is-a,Cannot adequately assess
Limb lead reversal,is-a,Lead reversal
Arm lead reversal,is-a,Limb lead reversal
Missing leads/data,is-a,Poor data quality
Missing leads/data,is-a,Lead unsuitable for analysis
Lead not used for morphology analysis,is-a,Poor data quality
Missing lead,is-a,Missing leads/data
Partial missing lead,is-a,Missing leads/data
Artifact in lead,is-a,Lead unsuitable for analysis
Artifact in lead,is-a,Artifact
Baseline wander in lead,is-a,Artifact in lead
Lead sequence error,is-a,Lead misplacement
Lead I unsuitable for analysis,is-a,Lead unsuitable for analysis
Missing lead I,is-a,Missing lead
Partial missing lead I,is-a,Partial missing lead
Artifact in lead I,is-a,Artifact in lead
Baseline wander in lead I,is-a,Baseline wander in lead
Lead I not used for morphology analysis,is-a,Lead not used for morphology analysis
Lead II unsuitable for analysis,is-a,Lead unsuitable for analysis
Missing lead II,is-a,Missing lead
Partial missing lead II,is-a,Partial missing lead
Artifact in lead II,is-a,Artifact in lead
Baseline wander in lead II,is-a,Baseline wander in lead
Lead II not used for morphology analysis,is-a,Lead not used for morphology analysis
Lead III unsuitable for analysis,is-a,Lead unsuitable for analysis
Missing lead III,is-a,Missing lead
Artifact in lead III,is-a,Artifact in lead
Baseline wander in lead III,is-a,Baseline wander in lead
Lead III not used for morphology analysis,is-a,Lead not used for morphology analysis
Lead AVL unsuitable for analysis,is-a,Lead unsuitable for analysis
Missing lead AVL,is-a,Missing lead
Artifact in lead AVL,is-a,Artifact in lead
Baseline wander in lead AVL,is-a,Baseline wander in lead
Lead AVL not used for morphology analysis,is-a,Lead not used for morphology analysis
Lead AVR unsuitable for analysis,is-a,Lead unsuitable for analysis
Missing lead AVR,is-a,Missing lead
Partial missing lead AVR,is-a,Partial missing lead
Artifact in lead AVR,is-a,Artifact in lead
Baseline wander in lead AVR,is-a,Baseline wander in lead
Lead AVR not used for morphology analysis,is-a,Lead not used for morphology analysis
Lead AVF unsuitable for analysis,is-a,Lead unsuitable for analysis
Missing lead AVF,is-a,Missing lead
Artifact in lead AVF,is-a,Artifact in lead
Baseline wander in lead AVF,is-a,Baseline wander in lead
Lead AVF not used for morphology analysis,is-a,Lead not used for morphology analysis
Lead V1 unsuitable for analysis,is-a,Lead unsuitable for analysis
Missing lead V1,is-a,Missing lead
Partial missing lead V1,is-a,Partial missing lead
Artifact in lead V1,is-a,Artifact in lead
Baseline wander in lead V1,is-a,Baseline wander in lead
Lead V1 not used for morphology analysis,is-a,Lead not used for morphology analysis
Lead V2 unsuitable for analysis,is-a,Lead unsuitable for analysis
Missing lead V2,is-a,Missing lead
Partial missing lead V2,is-a,Partial missing lead
