source_path,save_file,split
files/challenge-2021/1.0.3/training/cpsc_2018/g5/A4305,physionet2021_cpsc_2018_g5_A4305.mat,train
files/challenge-2021/1.0.3/training/cpsc_2018/g5/A4033,physionet2021_cpsc_2018_g5_A4033.mat,train
files/challenge-2021/1.0.3/training/cpsc_2018/g5/A4097,physionet2021_cpsc_2018_g5_A4097.mat,train
files/challenge-2021/1.0.3/training/cpsc_2018/g5/A4757,physionet2021_cpsc_2018_g5_A4757.mat,train
files/challenge-2021/1.0.3/training/cpsc_2018/g5/A4444,physionet2021_cpsc_2018_g5_A4444.mat,train
files/challenge-2021/1.0.3/training/cpsc_2018/g5/A4109,physionet2021_cpsc_2018_g5_A4109.mat,train
files/challenge-2021/1.0.3/training/cpsc_2018/g5/A4127,physionet2021_cpsc_2018_g5_A4127.mat,train
files/challenge-2021/1.0.3/training/cpsc_2018/g5/A4176,physionet2021_cpsc_2018_g5_A4176.mat,train
files/challenge-2021/1.0.3/training/cpsc_2018/g5/A4282,physionet2021_cpsc_2018_g5_A4282.mat,train
files/challenge-2021/1.0.3/training/cpsc_2018/g5/A4950,physionet2021_cpsc_2018_g5_A4950.mat,train
files/challenge-2021/1.0.3/training/cpsc_2018/g5/A4941,physionet2021_cpsc_2018_g5_A4941.mat,train
files/challenge-2021/1.0.3/training/cpsc_2018/g5/A4788,physionet2021_cpsc_2018_g5_A4788.mat,train
files/challenge-2021/1.0.3/training/cpsc_2018/g5/A4459,physionet2021_cpsc_2018_g5_A4459.mat,valid
files/challenge-2021/1.0.3/training/cpsc_2018/g5/A4383,physionet2021_cpsc_2018_g5_A4383.mat,train
files/challenge-2021/1.0.3/training/cpsc_2018/g5/A4022,physionet2021_cpsc_2018_g5_A4022.mat,valid
files/challenge-2021/1.0.3/training/cpsc_2018/g5/A4811,physionet2021_cpsc_2018_g5_A4811.mat,train
files/challenge-2021/1.0.3/training/cpsc_2018/g5/A4642,physionet2021_cpsc_2018_g5_A4642.mat,train
files/challenge-2021/1.0.3/training/cpsc_2018/g5/A4589,physionet2021_cpsc_2018_g5_A4589.mat,train
files/challenge-2021/1.0.3/training/cpsc_2018/g5/A4829,physionet2021_cpsc_2018_g5_A4829.mat,test
files/challenge-2021/1.0.3/training/cpsc_2018/g5/A4447,physionet2021_cpsc_2018_g5_A4447.mat,test
files/challenge-2021/1.0.3/training/cpsc_2018/g5/A4210,physionet2021_cpsc_2018_g5_A4210.mat,train
files/challenge-2021/1.0.3/training/cpsc_2018/g5/A4980,physionet2021_cpsc_2018_g5_A4980.mat,train
files/challenge-2021/1.0.3/training/cpsc_2018/g5/A4982,physionet2021_cpsc_2018_g5_A4982.mat,valid
files/challenge-2021/1.0.3/training/cpsc_2018/g5/A4159,physionet2021_cpsc_2018_g5_A4159.mat,train
